,Ann_Return,Ann_Vol,Sharpe,CI_2013
JP3242800005,0.06270113591592535,0.24059341789808528,0.26061035444654346,3.408364838645324
JP3256000005,0.10302180427355256,0.3165642562628873,0.32543726032037945,18.817616035016137
JP3260800002,0.025128447698116903,0.215686658985879,0.11650441346843832,3.6024524974727834
JP3266400005,0.16769817021985572,0.30447451554568944,0.5507790033569852,24.498023336716354
JP3269600007,0.06533029121948541,0.26807097134743574,0.24370520571887477,273.30647594370595
JP3289800009,0.1424645521975447,0.3762119776455804,0.37868159618181235,883.3805515638251
JP3300600008,0.14682257702772777,0.34981328988190413,0.4197169783837962,20.247493609450068
JP3304200003,0.18528373744798726,0.3524320353050764,0.5257289885342,6.083805335337114
JP3322930003,0.003916380488541582,0.4069300903410894,0.00962420961610105,
JP3351600006,0.059207669550306256,0.25282367964022573,0.234185617559875,4.134719403938894
JP3358800005,0.10407014043569918,0.34774248084943216,0.2992735894144614,14.699149221948744
JP3359600008,-0.05477278783862236,0.41314804583676584,-0.13257423916332164,10.51202569789636
JP3362700001,0.16510187505945406,0.3879588131114132,0.4255654710749938,1191.3931552390347
JP3368000000,0.0797719631567568,0.31897241452219816,0.25009047655813904,385.4314666800193
JP3371200001,0.07051369312003064,0.2721202728616708,0.2591269381677986,123.99632080143472
JP3375800004,0.06740357099067365,0.4636315344859636,0.14538176542586811,21.689118376319623
JP3385820000,0.13062024499357933,0.4326721537812959,0.30189196104264276,4.997863042852533
JP3402600005,0.22994797938680014,0.43072348783193676,0.5338644998076426,153.01935328326965
JP3407400005,0.07609342968050176,0.27284319465667917,0.27889070048549586,8.282217450006382
JP3414750004,0.04200377394568666,0.2872321626664763,0.14623631823035063,20.108682311016203
JP3419400001,0.14141171510182116,0.3155259187643776,0.4481778094668093,14.33069548296226
JP3420600003,0.08582612273875004,0.25572706620893304,0.33561610826375626,4.082690483597339
JP3421100003,0.04309172833601168,0.32222844598265954,0.13373036699041346,89.30636887922094
JP3429800000,0.017640505913886984,0.26635334712707426,0.06622971366479916,572.4537636761308
JP3435000009,-0.07213603100924172,0.3769129438811423,-0.19138645191232664,4.183422626930422
JP3443600006,0.1468989157647484,0.3676564350559894,0.3995548608917387,7.9528598106774915
JP3449020001,0.14424593342330233,0.40167150779931116,0.35911417818406116,1546.4462979648497
JP3452000007,0.0058850266425836285,0.4480442377117173,0.01313492317776487,17.794976311052253
JP3456000003,0.09024320205771222,0.3245418395289007,0.27806338371874545,1.6754284009525962
JP3475350009,0.05111914265422056,0.2665264861353834,0.19179760854331884,12.212849820260306
JP3481800005,0.16536025118569422,0.3061953035758105,0.5400482935387443,69.43645308923807
JP3493800001,0.020817298874858267,0.2358820309673536,0.08825300846141777,20.75498790709456
JP3496400007,0.06426787155172031,0.33718835564301713,0.1905993207540091,0.0750350038165496
JP3502200003,0.055642101273562596,0.37242610899440376,0.14940440514174236,0.2352043684573186
JP3505000004,0.1312116258193044,0.298432582419164,0.43966923703729804,9.574366107673905
JP3528600004,0.2193679878868661,0.44627040170935217,0.49155845211024435,0.0430830096634665
JP3539220008,0.018195794588436228,0.28157037318383704,0.0646225466929939,0.1085718022981867
JP3544000007,0.029976585769569717,0.3158070151440317,0.09492058229263256,127.29489641181596
JP3551200003,0.08551688373188505,0.25012085073730045,0.3419022583675066,7599.154637949945
JP3551500006,0.1022942629657107,0.2545524991545536,0.4018591972401022,15.040850157403815
JP3551520004,0.11780460445977252,0.30601980116727473,0.38495745703520295,0.0578601986349652
JP3566800003,0.07862341816863494,0.22178427891231114,0.3545040187439119,4.671222159296967
JP3571400005,0.02529671556955807,0.4022721136705603,0.06288458660168214,1.5558012851685632
JP3582600007,0.26296184346422435,0.4856038621965753,0.5415151400871187,1.274478987552366
JP3592200004,0.03815463229056383,0.37108155414026117,0.10282007247426307,12.013458913170686
JP3595200001,0.10338216530460705,0.3743290022232853,0.2761799504996413,987.9906031762662
JP3596200000,0.12643301310406582,0.2955151155656421,0.4278394114022284,31.460584339791723
JP3613400005,0.08151621188524749,0.31026756668283506,0.2627287562047239,22.88151961924129
JP3619800000,0.08985174721123494,0.294957325392351,0.30462626107595236,190.7803174618741
JP3621000003,0.0986624086679082,0.29920536898656647,0.32974812250891755,187.79411518876543
JP3626800001,0.09368770085540598,0.30237407503276137,0.30984038841707967,31.53992389026249
JP3629000005,0.039253606884841585,0.2635376816537064,0.1489487447811034,18.1241193299167
JP3634600005,0.0904548175816532,0.2115590502586695,0.42756297814277244,11.48580846321351
JP3638600001,0.22998323430262632,0.4211809777865958,0.5460437351925099,198.09157204721703
JP3657400002,0.08274513897321788,0.4567453191331693,0.18116253305070565,2.5057608502902604
JP3665200006,0.10571533946901535,0.28138827661364374,0.3756920534900831,8.067683302305314
JP3672400003,0.12807337031921595,0.331344115158732,0.3865267691803181,8.176861977202416
JP3678000005,0.12616248657107862,0.3380457185035563,0.37321131333823226,61.48087860819123
JP3684000007,0.07262690829512908,0.3694675973022637,0.1965717936442274,58.31596714893823
JP3686800008,0.02766444603678722,0.48615510999328776,0.056904567016006845,627.6825583336786
JP3688370000,0.04508868101048943,0.26700622291585036,0.16886752869688573,44.42547490242725
JP3711600001,0.1262514333828227,0.3100785086709316,0.4071595736317412,23.522456497176915
JP3726800000,0.15689336250146052,0.2744902820740137,0.5715807543931763,22.18137304447431
JP3733000008,-0.08156311596374664,0.397109588787093,-0.20539195795515283,2.278184243792499
JP3734800000,0.08950016357263472,0.3520779395069034,0.2542055423807087,2.344924546793303
JP3743000006,0.07826585015704618,0.2946232254320281,0.26564725181553184,25.47669731418996
JP3762600009,0.03743690479894567,0.40773353962668085,0.09181708434685737,0.1762685849455262
JP3778630008,0.05795411180597059,0.35906704130202444,0.16140192537811696,0.0
JP3786200000,0.14446619293328683,0.33898129961666673,0.42617747084176866,57.72467997003656
JP3787000003,0.2312136836641998,0.41384455360599676,0.5586969349953756,4.749318139046107
JP3788600009,0.008342701240246426,0.31472845137921396,0.026507616974845303,9.086316711541375
JP3811000003,0.11406928646499967,0.4346122919410516,0.26246217279209255,5.350767328287233
JP3814000000,0.020585015078667477,0.23912393820785072,0.08608512904623802,31.485407180680507
JP3814800003,0.17305480441720938,0.33228760325917744,0.5207982564496402,9.318698956141269
