NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CHINA TAIPING INSURANCE HLDGS,HK0000055878,,,,,,,,,,,,,,,,,,,15189.96,48412.94,14461.6,32614.47,29853.58,74303.72,48100.76,40669.56,
TELEVISION BROADCASTS,HK0000139300,,,,,,,,,,,,,,,,,,,,22309.31,21584.88,20241.55,14634.47,14230.58,13868.12,13598.32,
SHOUCHENG HOLDINGS,HK0000592854,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
NEW WORLD DEVELOPMENT COMPANY,HK0000608585,,,,,,,,,,,,,,,,,418384.0,32757.6,326998.0,311978.0,305459.0,284823.0,255269.0,219370.0,109329.0,148601.0,
YUEXIU PROPERTY COMPANY,HK0000745908,,,,,,,,,,,,,,,,,,23636.81,36063.5,37316.53,76390.95,54901.41,68831.52,62335.44,62405.47,140929.51,
CLP HOLDINGS,HK0002007356,,,,,,,,,,,18340.0,248000.0,200000.0,219000.0,,,,,,,,244000.0,236000.0,220000.0,229000.0,361000.0,
HONG KONG AND CHINA GAS,HK0003000038,,,,,,,,,,,,,,23298.0,284000.0,300000.0,378000.0,399000.0,423000.0,455000.0,,676000.0,694000.0,673000.0,618000.0,518000.0,
WHARF HOLDINGS,HK0004000045,,,,,,,,,,,,,,,,217654.0,156295.0,151183.0,120543.0,157762.0,168082.0,186247.0,187757.0,124731.0,138894.0,141411.0,
POWER ASSETS HOLDINGS,HK0006000050,,,,,,,,,,,,0.0,0.0,0.0,,,,,1553072.0,1239858.0,1203271.0,1032142.0,994995.0,811271.0,756059.0,813447.0,
PCCW,HK0008011667,,,,,,,,,,,,,,,,,,,248652.0,239987.0,236018.0,229092.0,186406.0,159170.0,145617.0,140553.32,
HANG LUNG GROUP,HK0010000088,,,,,,,,,,,,,,,122668.28,150973.51,158467.64,209034.43,231363.82,271239.53,251009.7,158244.0,173988.0,184053.0,185997.0,171037.0,
HANG SENG BANK DEAD - DELIST.28/01/26,HK0011000095,,,,,,,,,,27605.68,24203.23,24570.37,23455.0,24616.59,24307.27,24707.0,25909.0,23936.0,22131.0,20514.0,19865.0,18904.47,15973.04,14992.74,13565.13,12258.69,
HENDERSON LD.DEV.,HK0012000102,,,,,,,,,,,,,,103481.0,104376.0,119334.0,108610.0,,99285.0,95801.0,94583.0,83394.0,123993.0,110482.0,115849.0,108440.0,
HYSAN DEVELOPMENT,HK0014000126,,,,,,,,,,,,,,,,,,,,40873.0,43154.0,41139.0,37922.0,35767.0,34839.0,32847.0,
SUN HUNG KAI PROPERTIES,HK0016000132,,,,,,,,,,,,,,,305330.0,227648.0,312819.0,306949.0,307743.0,288180.0,,266658.0,346416.0,391192.0,391202.0,380618.0,1134075.0
SWIRE PACIFIC 'A',HK0019000162,,,,,,,,302000.0,390000.0,410000.0,420000.0,416949.0,467252.0,452554.0,491835.0,599731.0,593000.0,618000.0,632000.0,668000.0,658000.0,550000.0,557000.0,529000.0,613000.0,565000.0,
BANK OF EAST ASIA,HK0023000190,,,,,,,,,,,,,,,,,,30168.75,28081.69,26692.08,31595.05,26563.15,22499.37,20826.3,19811.16,18984.0,
MTR,HK0066009694,,,,,,,597120.0,606838.0,667229.0,1066179.0,1112936.0,1113168.0,1156630.0,1171764.0,1242449.0,1865869.0,1864623.0,1869274.0,1870867.0,1866672.0,1934922.0,1545878.0,1826320.0,1759074.0,1779425.0,1760085.1,
SINO LAND,HK0083000502,,,,,,,,,,,,,,,,,,179034.6,74228.0,72284.7,98381.2,91947.4,96227.2,117284.1,127120.9,126972.3,114881.9
HANG LUNG PROPERTIES,HK0101000591,,,,,,,,,,,,,,,,,,,,,,,173988.0,184053.0,185997.0,171037.0,
CHINA MERCHANTS PORT HOLDINGS,HK0144000764,,,,,,,,,,,,,,,,,,,80399.0,85564.0,83765.9,118786.16,156075.32,219784.0,223110.0,251188.44,
CHINA EVERBRIGHT,HK0165000859,,,,,,,,,,,,,,,,,,711.8,723.0,761.1,704.4,999.0,686.9,581.2,541.2,530.0,
MELCO INTL.DEV.,HK0200030994,,,,,,,,,,,,,,,350.6,304.84,314.02,270496.0,261896.0,270660.0,264983.0,207018.0,212111.0,210353.0,252165.0,265100.0,
SHUN TAK HOLDINGS,HK0242001243,,,,,,,,,,,,,,,,87233.0,108349.0,76857.0,76025.0,77317.0,84607.0,76493.0,71689.0,57595.0,63456.0,47494.0,
GUANGDONG INVESTMENT,HK0270001396,,,,,,,,,,,,,,,,,,,,,,429965.89,466420.19,408969.52,408722.63,440364.67,
CHINA RESOURCES BEER HOLDINGS,HK0291001490,,,,,,,,,,,,,,,,,,796000.0,739000.0,728000.0,717000.0,643000.0,703000.0,648000.0,628974.37,564000.0,
CATHAY PACIFIC AIRWAYS,HK0293001514,,,,,,,,44528.0,,22824.0,50267.0,50474.0,53695.0,56086.0,54842.0,91307.0,86289.0,80123.0,79538.0,74741.0,69602.0,53807.0,71412.0,70564.0,79188.0,85046.0,
CTII.INTL.INV.HK.,HK0308001558,,,,,,,,,,,,,,,,,,,54152.45,51982.73,72152.12,44077.64,38367.26,41871.15,51259.03,56799.46,
SHANGHAI INDUSTRIAL HOLDINGS,HK0363006039,,,,,,,,,,,,,,,,,,,258114.0,220150.0,285525.0,220902.0,543407.0,536762.61,608792.82,601102.46,
HONG KONG EXCHANGES AND CLEARING,HK0388045442,,,,,,,,,,10239.0,10210.0,9439.0,10036.0,11159.0,18814.0,19599.0,19766.0,17461.0,18437.0,18289.0,19634.0,19122.0,15973.0,15236.0,22893.0,24239.0,
BEIJING ENTERPRISES HOLDINGS,HK0392044647,,,,,,,,,,,,,,,,,,,,,1667225.69,1468353.2,1498689.3,1408295.3,1704543.7,1620961.48,
DAH SING FINANCIAL HDG.,HK0440001847,,,,,,,,,,,,,,,,,,,,,5373.0,4922.0,4491.0,4360.0,4369.0,3970.0,
CHINA OVERSEAS LAND INVESTMENT,HK0688002218,,,,,,,,,,,,,,,,,,101278.0,95604.0,229313.0,345034.0,291361.0,423663.0,369025.0,134077.0,148521.0,
LINK REAL ESTATE INVESTMENT TRUST,HK0823032773,,,,,,,,,,,,,,168713.9,156589.0,155478.0,155154.0,130013.2,126356.65,126702.8,124857.0,119646.0,108533.0,117122.0,107844.0,119564.0,122876.0
CHINA RESOURCES POWER,HK0836012952,,,,,,,,,,,,,,,,,,,,,,,43083.0,44986.0,50774.0,54813.0,
CHIN.PWR.INTDVT.,HK2380027329,,,,,,,,,,,,,,,,,,,,,,,25410.0,168593.0,298062.0,425948.0,
BOC HONG KONG HOLDINGS,HK2388011192,,,,,,,,,,,,,,,,,62455.0,61697.0,65087.0,65003.0,65083.0,57533.0,50074.0,48522.0,50953.0,50537.0,
SEAGATE TECHNOLOGY HOLDINGS,IE00BKVD2N49,,,,,,,,,,907045.0,878106.0,871087.0,944098.0,929837.0,1016950.0,997657.0,999652.0,979311.0,991279.0,894885.0,845939.0,856969.0,871685.0,721566.0,651054.0,702420.0,
NIPPON BUILDING FUND,JP3027670003,,,,,,,,,,,,,,,,,161585.0,150798.0,157452.0,167898.0,144852.0,129680.0,138323.0,20942.0,17983.0,16351.0,
JAPAN REAL ESTATE INV.,JP3027680002,,,,,,,,,,,,,,,99038.0,100104.0,101791.0,105648.0,110368.0,,42436.0,42436.0,39748.0,32350.0,16046.0,13251.0,12734.0
JAPAN METROPOLITAN FUND INVESTMENT REIT,JP3039710003,,,,,,,,,,,,,,,,,,,,,,32658.0,29884.0,24633.0,22061.0,17558.0,
JAPAN PRIME REALTY INV.,JP3040890000,,,,,,,,,,,,,,,,,,48984.0,53473.0,47498.0,14345.0,13828.0,13714.0,13626.0,13750.0,,
AISIN,JP3102000001,,,,,,,,,,,,,,,,,,,,,1620000.0,2080878.0,1907664.0,1963240.0,1745595.0,1755040.0,1673475.0
ACOM,JP3108600002,,,,,,,,,,,,,,,,,,,,13718.0,11552.0,9959.0,9061.0,8250.0,4895.0,3753.0,3346.0
ASAHI KASEI,JP3111200006,,,,,,,,,,,940473.0,,,,,,,,1020000.0,1120000.0,1070000.0,1024946.0,929331.0,1048479.0,870683.0,846144.0,
